,1,2,3,4,5,6,7,8,9,10
0,2.65,3,3.15,3.25,4.4,0,1,0,0,1
1,2.65,3,3.19,3.25,4.4,0,1,0,0,1
2,2.65,3,3.18,3.25,4.4,0,1,0,0,1
3,2.65,3,3.15,3.28,4.4,0,1,0,0,1
4,2.65,3,3.15,3.27,4.4,0,1,0,0,1
5,2.65,3,3.15,3.25,4.41,0,1,0,0,1
6,2.65,3.01,3.15,3.25,4.4,0,1,0,0,1
7,2.65,3,3.15,3.25,4.45,0,1,0,0,1
8,2.7,3,3.15,3.25,4.4,0,1,0,0,1
9,2.65,3.02,3.15,3.25,4.4,0,1,0,0,1
10,2.65,3.05,3.15,3.25,4.4,0,1,0,0,1
11,2.65,3.04,3.15,3.25,4.4,0,1,0,0,1
12,2.65,3,3.15,3.3,4.4,0,1,0,0,1
13,2.65,3,3.15,3.27,4.4,0,1,0,0,1
14,2.69,3,3.15,3.25,4.4,0,1,0,0,1
15,2.65,3,3.17,3.25,4.4,0,1,0,0,1
16,2.65,3,3.17,3.25,4.4,0,1,0,0,1
17,2.65,3.04,3.15,3.25,4.4,0,1,0,0,1
18,2.65,3,3.15,3.27,4.4,0,1,0,0,1
19,2.65,3,3.15,3.25,4.43,0,1,0,0,1
20,2.65,3,3.15,3.27,4.4,0,1,0,0,1
21,2.65,3,3.15,3.25,4.45,0,1,0,0,1
22,2.65,3.04,3.15,3.25,4.4,0,1,0,0,1
23,2.65,3.04,3.15,3.25,4.4,0,1,0,0,1
24,2.65,3,3.2,3.25,4.4,0,1,0,0,1
25,2.65,3,3.15,3.25,4.45,0,1,0,0,1
26,2.65,3,3.15,3.28,4.4,0,1,0,0,1
27,2.65,3,3.15,3.3,4.4,0,1,0,0,1
28,2.68,3,3.15,3.25,4.4,0,1,0,0,1
29,2.65,3.03,3.15,3.25,4.4,0,1,0,0,1
30,2.65,3.05,3.15,3.25,4.4,0,1,0,0,1
31,2.67,3,3.15,3.25,4.4,0,1,0,0,1
32,2.65,3,3.19,3.25,4.4,0,1,0,0,1
33,2.65,3,3.15,3.28,4.4,0,1,0,0,1
34,2.65,3,3.19,3.25,4.4,0,1,0,0,1
35,2.65,3.05,3.15,3.25,4.4,0,1,0,0,1
36,2.67,3,3.15,3.25,4.4,0,1,0,0,1
37,2.65,3.04,3.15,3.25,4.4,0,1,0,0,1
38,2.65,3.04,3.15,3.25,4.4,0,1,0,0,1
39,2.65,3.02,3.15,3.25,4.4,0,1,0,0,1
40,2.65,3,3.15,3.29,4.4,0,1,0,0,1
41,2.65,3,3.17,3.25,4.4,0,1,0,0,1
42,2.65,3,3.15,3.25,4.44,0,1,0,0,1
43,2.65,3,3.15,3.25,4.41,0,1,0,0,1
44,2.65,3,3.15,3.25,4.42,0,1,0,0,1
45,2.68,3,3.15,3.25,4.4,0,1,0,0,1
46,2.65,3,3.17,3.25,4.4,0,1,0,0,1
47,2.65,3,3.15,3.25,4.41,0,1,0,0,1
48,2.7,3,3.15,3.25,4.4,0,1,0,0,1
49,2.65,3.04,3.15,3.25,4.4,0,1,0,0,1
50,2.67,3,3.15,3.25,4.4,0,1,0,0,1
51,2.65,3,3.15,3.25,4.41,0,1,0,0,1
52,2.65,3,3.15,3.25,4.44,0,1,0,0,1
53,2.65,3.02,3.15,3.25,4.4,0,1,0,0,1
54,2.65,3.02,3.15,3.25,4.4,0,1,0,0,1
55,2.65,3,3.19,3.25,4.4,0,1,0,0,1
56,2.65,3,3.15,3.26,4.4,0,1,0,0,1
57,2.65,3.05,3.15,3.25,4.4,0,1,0,0,1
58,2.65,3,3.17,3.25,4.4,0,1,0,0,1
59,2.69,3,3.15,3.25,4.4,0,1,0,0,1
60,2.65,3,3.15,3.29,4.4,0,1,0,0,1
61,2.65,3,3.15,3.25,4.42,0,1,0,0,1
62,2.65,3,3.19,3.25,4.4,0,1,0,0,1
63,2.65,3,3.15,3.3,4.4,0,1,0,0,1
64,2.65,3.03,3.15,3.25,4.4,0,1,0,0,1
65,2.69,3,3.15,3.25,4.4,0,1,0,0,1
66,2.69,3,3.15,3.25,4.4,0,1,0,0,1
67,2.65,3,3.19,3.25,4.4,0,1,0,0,1
68,2.65,3.04,3.15,3.25,4.4,0,1,0,0,1
69,2.65,3,3.15,3.25,4.41,0,1,0,0,1
70,2.65,3,3.15,3.25,4.42,0,1,0,0,1
71,2.65,3,3.15,3.25,4.41,0,1,0,0,1
72,2.65,3,3.15,3.25,4.42,0,1,0,0,1
73,2.65,3.03,3.15,3.25,4.4,0,1,0,0,1
74,2.65,3,3.19,3.25,4.4,0,1,0,0,1
75,2.66,3,3.15,3.25,4.4,0,1,0,0,1
76,2.65,3,3.15,3.25,4.43,0,1,0,0,1
77,2.65,3.01,3.15,3.25,4.4,0,1,0,0,1
78,2.65,3,3.16,3.25,4.4,0,1,0,0,1
79,2.65,3,3.15,3.25,4.43,0,1,0,0,1
80,2.69,3,3.15,3.25,4.4,0,1,0,0,1
81,2.65,3,3.15,3.25,4.41,0,1,0,0,1
82,2.65,3,3.15,3.3,4.4,0,1,0,0,1
83,2.65,3,3.15,3.26,4.4,0,1,0,0,1
84,2.65,3,3.16,3.25,4.4,0,1,0,0,1
85,2.68,3,3.15,3.25,4.4,0,1,0,0,1
86,2.65,3,3.15,3.25,4.45,0,1,0,0,1
87,2.68,3,3.15,3.25,4.4,0,1,0,0,1
88,2.65,3,3.2,3.25,4.4,0,1,0,0,1
89,2.65,3,3.15,3.25,4.44,0,1,0,0,1
90,2.65,3,3.15,3.3,4.4,0,1,0,0,1
91,2.65,3,3.19,3.25,4.4,0,1,0,0,1
92,2.65,3,3.15,3.28,4.4,0,1,0,0,1
93,2.69,3,3.15,3.25,4.4,0,1,0,0,1
94,2.65,3,3.15,3.25,4.44,0,1,0,0,1
95,2.66,3,3.15,3.25,4.4,0,1,0,0,1
